feature,mean_abs_shap
fico_mid,0.22777570269053626
loan_to_income,0.2056659631771912
dti,0.15202045137994605
acc_open_past_24mths,0.12391265548254235
tot_hi_cred_lim,0.08959609794441963
home_ownership,0.08529120504950168
mo_sin_old_rev_tl_op,0.08103497822457345
verification_status,0.07809109054965489
total_rev_hi_lim,0.07607851783982787
percent_bc_gt_75,0.07172630998213472
mths_since_recent_inq,0.06474389160003927
num_tl_op_past_12m,0.06046909703539139
mths_since_recent_bc,0.05957482337689684
inq_last_6mths,0.056965527376284214
mort_acc,0.056019750594962794
emp_length_years,0.05524183225073779
all_util,0.05369424999559207
num_rev_tl_bal_gt_0,0.05321386033332799
bc_util,0.04775535622878963
annual_inc,0.04466845166719571
bc_open_to_buy,0.04337161964595028
mths_since_rcnt_il,0.04128518696098995
tot_cur_bal_to_income,0.03883602462824474
max_bal_bc,0.03760815160299513
total_bc_limit,0.03688189378016208
mo_sin_rcnt_rev_tl_op,0.032083249004746954
num_actv_rev_tl,0.028932695859613493
il_util,0.028155158277100446
revol_bal,0.026564976145837478
credit_history_length,0.02602716873426676
open_rv_24m,0.025907076452676005
inq_fi,0.021170234775149486
mo_sin_rcnt_tl,0.02013775803027589
inq_last_12m,0.01951392382162546
avg_cur_bal,0.009743438388557218
tot_cur_bal,0.009402361778220325
open_acc_6m,0.00831980924803377
open_il_24m,0.0048402282584112406
open_rv_12m,0.004477961683468777
open_il_12m,0.0019458651227805713
