model,auc_test,ks_test,gini_test,auc_pass_0.68,ks_pass_0.25
Logistic Regression + WOE,0.673704525912651,0.2519605057899983,0.3474090518253019,False,True
LightGBM,0.7023286765954911,0.29262652853999027,0.4046573531909823,True,True
